,count,hate_speech,offensive,neither,class,comments
1,0,0,0,0,2,Ai abun Nace allah ne shike rayawa shike kashewa
2,0,0,0,0,2,a'a Hajiya bawanda yake hanasu idan sunada niyyaryi zasuyi
3,3,1,1,1,0,Ga Wata Nan Mai Gemu Kaman Ke.
4,0,0,0,0,2,"Yayi kyau, daa ma yaro baya hange nesa sai gabansa. Fatan alheri. Wasalam"
5,0,0,0,0,2,"*YAJIN AIKIN DIREBOBIN ADAIDAITA SAHU A KANO*. *_HUKUMAR KAROTA NA KARA TA,AZZARA TALAUCHI DA RASHIN AIKIN YI A TSAKANIN MATASA A JAHAR KANO DA AREWACIN NAJERIYA_*. A yau 10/01/2022 matuka baburan a daidaita sahu (keke napep) suka tsunduma yajin aikin sai baba ta gani a jahar kano sakamakon abinda suka kira rashin tausayi da rashin adalci da hukumar karota take nuna musu a cikin sana,arsu ta hanyar kakaba musu haraji mai yawa kala kala wanda basa iya biya saboda yadda rayuwa ta ta,azzara ta hanyar tsadar farashin man fetur,karuwan kudin kayan gyaran mashin din da hauhawar farashin kayan masarufi wanda hakan na da alaka kai tsaye da sana,ar tasu. A cewar wani Direban BIYAN HARAJI ABUNE DA YA ZAMA WAJIBI AMMA A DINGA DUBA KARFIN MUTANE KUMA A DAINA SAKA HARAJIN DA BAZAI TA,AZZARA RAYUWAR JAMA,A BA DOMIN DA YAWA DAGA CIKIN YAN ADAIDAITA SUNA DA IYAYE DA IYALI DA SUKE DAUKAR NAUYINSU DA WANNAN SANA,A.KA KADDARA A RANA KAYI CINIKIN NAIRA 5000 ZAKA BIYA KUDIN HAYAR BABUR NAIRA 2000 KACI ABINCIN 1000 KASHA MAI NA NAIRA 1500 ABINDA YA RAGE SHINE NAIRA 500 KUMA KANA BUKATAR CIYAR DA IYAYE DA IYALI,SIYAN MAGANI,GYARAN BABUR GA KUMA HARAJI KALA KALA DA AKE KAKABAWA MUTANE. Kalamansa sun matukar tayarmin da hankali domin duk wanda yake sana,ar tabbatas bashi da yadda zayyi ne domin sana,ace mai matukar wahala wadda take zama zabi na karshe ga matashi da ya rasa abinda zaiyi na dogaro da kai. Hakika matasa sune kashin bayan cigaban kowace kasa ko yanki a duniya kasancewar sune masu jini a jikinsu kuma manyan gobe da ake kyautata musu zaton zamowa shugabanni,yan kasuwa,malaman makarantu ko kuma ma,aikata da zasu taimaka wajen Gina kasa da wanzuwar zaman lafiya.Matasan arewacin kasar nan mutane ne masu kokarin dogaro da kansu domin kuwa duk kasuwar da kaje ko wata ma,aikata ko ka kalli wata karamar sana,a zakaga yadda matasa suka dauki kaso mafi tsoka a cikinta domin rubawa kansu asiri da kyautata rayuwarsu da wanzar da zaman lafiya. Daga. Amb Comrade Yusuf Dala"
6,3,1,1,1,2,"Ba hijabi ba kadai,, Qur'ani ma lokaci zaizo Allah zai dauke abinsa,, ya Allah ya rahmanu ya rahimu karka kamamu da laifin wawayen cikinmu ya Allah ðŸ¤²ðŸ¤²ðŸ¤²"
7,0,0,0,0,2,ðŸ¤£dagabaya kenan ai wannan dadadden abune ga hausawa
8,0,0,0,0,2,ðŸ˜ Allah Ya Hadamu Nima Neman Irinsu Nake Kuma Zan Rike Amana
9,0,0,0,0,2,ðŸ˜ðŸ˜ðŸ˜ðŸ˜ Ba Ruwan Ubangiji. Ya Raena Abin da ta bashi dae
10,3,1,1,1,0,Kwal uba! Ki kwashi kaso 99% wajen jin dadi shi kuma yanada kaso 1% shine abin fyade? Wannan matar lacked home trying gashi kuma ta kwance masa zani a kasuwa shi kuma ya zama abin dariya
